stage_source,experiment_type,case_id,repetition_id,status,failure_category,failure_message,declared_sweep_variable,declared_sweep_value,worker_wall_s,T_SSE_s,peak_rss_bytes,J_A,J_D,selected_defender_action_id,selected_attacker_candidate_id,trajectory_sha256,independent_replay_passed
14.2C,stage14_2c_global_oracle_spatial,global-oracle-spatial-50m-9d6debde9b25,global-oracle-spatial-50m-9d6debde9b25-r002,completed,,,spatial_resolution_m,50.0,28.831194500000493,28.436136700000134,75960320,1.340553884072545,0.8938345470153469,2,38,af5756a788b7eac143700e6d6f125c8ebd771a46c6984078a629644cfc7ab8d5,True
14.2C,stage14_2c_global_oracle_heading,global-oracle-heading-15deg-0f610710b342,global-oracle-heading-15deg-0f610710b342-r000,completed,,,heading_spacing_deg,15.0,4.730001899999479,4.335439700000279,99504128,0.9697241814714522,0.7912859636040508,2,26,217ac0652b5c73ff43a31c54f47dfbdec37f4a088f82acf90f7f69a3dc52c609,True
14.2C,stage14_2c_global_oracle_heading,global-oracle-heading-15deg-0f610710b342,global-oracle-heading-15deg-0f610710b342-r001,completed,,,heading_spacing_deg,15.0,4.806776399998853,4.365279999999984,99667968,0.9697241814714522,0.7912859636040508,2,26,217ac0652b5c73ff43a31c54f47dfbdec37f4a088f82acf90f7f69a3dc52c609,True
14.2C,stage14_2c_global_oracle_heading,global-oracle-heading-15deg-0f610710b342,global-oracle-heading-15deg-0f610710b342-r002,completed,,,heading_spacing_deg,15.0,4.819018700000015,4.380340499999875,99221504,0.9697241814714522,0.7912859636040508,2,26,217ac0652b5c73ff43a31c54f47dfbdec37f4a088f82acf90f7f69a3dc52c609,True
14.2C,stage14_2c_global_oracle_heading,global-oracle-heading-10deg-918229a54b84,global-oracle-heading-10deg-918229a54b84-r000,completed,,,heading_spacing_deg,10.0,11.522153900001285,11.135299100000339,127180800,0.952687238683972,0.7843318987084812,2,26,7d8a14d528f00c78409a36f48c3c78c923bd9cad109de3653592b85d6ce43e39,True
14.2C,stage14_2c_global_oracle_heading,global-oracle-heading-10deg-918229a54b84,global-oracle-heading-10deg-918229a54b84-r001,completed,,,heading_spacing_deg,10.0,11.432972200000222,11.047308399998656,127594496,0.952687238683972,0.7843318987084812,2,26,7d8a14d528f00c78409a36f48c3c78c923bd9cad109de3653592b85d6ce43e39,True
14.2C,stage14_2c_global_oracle_heading,global-oracle-heading-10deg-918229a54b84,global-oracle-heading-10deg-918229a54b84-r002,completed,,,heading_spacing_deg,10.0,11.414337800000794,11.019661299998916,128188416,0.952687238683972,0.7843318987084812,2,26,7d8a14d528f00c78409a36f48c3c78c923bd9cad109de3653592b85d6ce43e39,True
14.2C,stage14_2c_global_oracle_switching,global-oracle-switch-contour-6-da814cd9ca50,global-oracle-switch-contour-6-da814cd9ca50-r000,completed,,,switching_contour_sample_count,6,28.227267599999323,27.842505900000106,202080256,0.9451630119996846,0.7814711306439309,2,13,2e5af003acf127d3ca850785cde60ed96542479b070b91aab0ce1fe5a9680722,True
14.2C,stage14_2c_global_oracle_switching,global-oracle-switch-contour-6-da814cd9ca50,global-oracle-switch-contour-6-da814cd9ca50-r001,completed,,,switching_contour_sample_count,6,28.220806999999695,27.821883599999637,202170368,0.9451630119996846,0.7814711306439309,2,13,2e5af003acf127d3ca850785cde60ed96542479b070b91aab0ce1fe5a9680722,True
14.2C,stage14_2c_global_oracle_switching,global-oracle-switch-contour-6-da814cd9ca50,global-oracle-switch-contour-6-da814cd9ca50-r002,completed,,,switching_contour_sample_count,6,28.58109510000031,28.184170099999392,202780672,0.9451630119996846,0.7814711306439309,2,13,2e5af003acf127d3ca850785cde60ed96542479b070b91aab0ce1fe5a9680722,True
14.2C,stage14_2c_global_oracle_switching,global-oracle-switch-contour-9-78ec96fbf287,global-oracle-switch-contour-9-78ec96fbf287-r000,completed,,,switching_contour_sample_count,9,41.58053169999948,41.18678700000055,203653120,0.950208719670526,0.7814935518630626,2,20,1b04efe2e841ddf3cd307acf09bdb1ca5a03cf3c3653aba49d1e7822bdf89d7a,True
14.2C,stage14_2c_global_oracle_switching,global-oracle-switch-contour-9-78ec96fbf287,global-oracle-switch-contour-9-78ec96fbf287-r001,completed,,,switching_contour_sample_count,9,41.69733390000147,41.27791380000053,205144064,0.950208719670526,0.7814935518630626,2,20,1b04efe2e841ddf3cd307acf09bdb1ca5a03cf3c3653aba49d1e7822bdf89d7a,True
14.2C,stage14_2c_global_oracle_switching,global-oracle-switch-contour-9-78ec96fbf287,global-oracle-switch-contour-9-78ec96fbf287-r002,completed,,,switching_contour_sample_count,9,41.74738690000049,41.33671179999874,203272192,0.950208719670526,0.7814935518630626,2,20,1b04efe2e841ddf3cd307acf09bdb1ca5a03cf3c3653aba49d1e7822bdf89d7a,True
14.2C,stage14_2c_global_oracle_defender,global-oracle-defender-count-2-285658b91785,global-oracle-defender-count-2-285658b91785-r000,completed,,,defender_action_count,2,38.64592139999877,38.227541700000074,204529664,0.944086144839464,0.7814861193516704,1,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_global_oracle_defender,global-oracle-defender-count-2-285658b91785,global-oracle-defender-count-2-285658b91785-r001,completed,,,defender_action_count,2,38.83021960000042,38.42430400000012,203661312,0.944086144839464,0.7814861193516704,1,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
